delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost,delay_hours,status_label,delivery_date
250,xpressbees,electronics,ev van,same day,central,stormy,26.9,29.86,5,8,no,delivered,5,324.08,-3,On Time,2023-09-08
250,blue dart,clothing,truck,express,north,hot,216.7,26.89,7,6,yes,delayed,2,1214.17,1,Delayed,2023-09-08
250,dhl,electronics,van,standard,south,foggy,148.2,38.6,5,24,no,delivered,4,856.8,-19,On Time,2023-09-08
250,fedex,cosmetics,ev van,same day,south,clear,184.2,46.79,5,8,no,delivered,4,1161.37,-3,On Time,2023-09-08
250,fedex,groceries,truck,same day,east,stormy,167.7,42.4,7,8,no,delivered,5,1065.7,-1,On Time,2023-09-08
250,delhivery,electronics,ev bike,standard,central,cold,197.7,25.84,9,24,no,delivered,5,1066.02,-15,On Time,2023-09-08
250,fedex,cosmetics,ev van,standard,north,foggy,211.9,46.94,7,24,no,delivered,5,1200.32,-17,On Time,2023-09-08
250,blue dart,pharmacy,scooter,same day,west,stormy,64.3,21.05,6,8,no,delivered,5,484.65,-2,On Time,2023-09-08
250,xpressbees,cosmetics,scooter,two day,east,hot,206.7,3.87,3,16,no,delivered,4,1045.11,-13,On Time,2023-09-08
250,xpressbees,clothing,bike,two day,east,cold,83.5,6.81,3,16,no,delivered,5,437.93,-13,On Time,2023-09-08
250,ecom express,fragile items,truck,same day,central,foggy,9.3,47.62,3,8,no,delivered,5,289.36,-5,On Time,2023-09-08
250,xpressbees,clothing,ev bike,standard,west,rainy,245.9,47.01,12,24,no,delivered,3,1370.53,-12,On Time,2023-09-08
250,dhl,pharmacy,ev van,express,north,stormy,225.7,45.7,8,6,yes,delayed,2,1315.6,2,Delayed,2023-09-08
250,ecom express,pharmacy,bike,express,east,hot,226.0,37.62,7,6,yes,delayed,2,1292.86,1,Delayed,2023-09-08
250,dhl,clothing,bike,two day,west,hot,113.3,34.03,4,16,no,delivered,5,668.59,-12,On Time,2023-09-08
250,ekart,groceries,ev bike,standard,north,stormy,232.3,41.91,12,24,no,delivered,4,1287.23,-12,On Time,2023-09-08
250,ecom express,electronics,scooter,express,east,cold,87.7,22.38,4,3,yes,failed,2,555.64,1,Delayed,2023-09-08
250,dhl,furniture,van,same day,east,rainy,90.1,27.46,6,8,no,delivered,4,632.88,-2,On Time,2023-09-08
250,delhivery,cosmetics,bike,express,north,rainy,110.4,44.94,6,4,yes,delayed,2,736.82,2,Delayed,2023-09-08
250,fedex,documents,bike,same day,central,cold,217.3,3.03,6,8,no,delivered,5,1195.59,-2,On Time,2023-09-08
250,amazon logistics,furniture,truck,standard,south,rainy,75.2,28.25,6,24,no,delivered,3,460.75,-18,On Time,2023-09-08
250,blue dart,automobile parts,ev bike,two day,south,hot,23.2,19.18,2,16,no,delivered,5,173.54,-14,On Time,2023-09-08
250,fedex,documents,ev van,express,north,rainy,78.5,27.87,8,3,yes,delayed,3,526.11,5,Delayed,2023-09-08
250,blue dart,documents,van,express,north,hot,138.3,47.87,8,4,yes,delayed,3,885.11,4,Delayed,2023-09-08
250,xpressbees,clothing,truck,two day,north,cold,96.4,39.33,3,16,no,delivered,4,599.99,-13,On Time,2023-09-08
250,fedex,furniture,ev van,standard,west,cold,216.2,23.93,11,24,no,delivered,4,1152.79,-13,On Time,2023-09-08
250,ekart,clothing,van,express,south,stormy,24.1,34.1,7,2,yes,delayed,3,272.8,5,Delayed,2023-09-08
250,ekart,fragile items,scooter,standard,east,rainy,197.1,28.23,13,24,no,delivered,4,1070.19,-11,On Time,2023-09-08
250,shadowfax,documents,ev bike,same day,west,foggy,94.8,10.02,2,8,no,delivered,4,604.06,-6,On Time,2023-09-08
250,xpressbees,pharmacy,bike,express,south,hot,56.0,22.91,3,3,yes,delayed,2,398.73,0,Delayed,2023-09-08
250,ecom express,clothing,scooter,same day,east,stormy,70.7,5.72,8,8,yes,delayed,3,470.66,0,Delayed,2023-09-08
250,dhl,documents,bike,same day,east,rainy,60.4,22.93,6,8,no,delivered,5,470.79,-2,On Time,2023-09-08
250,blue dart,clothing,truck,same day,central,stormy,258.4,22.08,9,8,yes,failed,2,1458.24,1,Delayed,2023-09-08
250,amazon logistics,furniture,scooter,two day,central,cold,89.3,34.98,4,16,no,delivered,4,551.44,-12,On Time,2023-09-08
250,shadowfax,electronics,van,two day,south,clear,244.0,13.62,7,16,no,delivered,4,1260.86,-9,On Time,2023-09-08
250,xpressbees,electronics,truck,standard,south,stormy,87.8,19.77,8,24,no,delivered,4,498.31,-16,On Time,2023-09-08
250,delhivery,furniture,scooter,same day,east,stormy,3.6,20.7,3,8,no,delivered,4,172.6,-5,On Time,2023-09-08
250,ekart,furniture,van,two day,south,cold,3.6,8.75,0,16,no,delivered,3,95.6674,-16,On Time,2023-09-08
250,xpressbees,documents,van,standard,east,rainy,111.0,36.68,9,24,no,delivered,4,665.04,-15,On Time,2023-09-08
250,amazon logistics,groceries,bike,express,east,rainy,256.4,33.53,11,7,yes,delayed,3,1432.59,4,Delayed,2023-09-08
250,dhl,groceries,ev van,same day,east,foggy,177.9,20.16,7,8,no,delivered,5,1049.98,-1,On Time,2023-09-08
250,amazon logistics,cosmetics,ev van,two day,east,rainy,204.2,8.09,9,16,no,delivered,4,1045.27,-7,On Time,2023-09-08
250,amazon logistics,furniture,ev bike,standard,central,cold,125.0,39.41,4,24,no,delivered,5,743.23,-20,On Time,2023-09-08
250,dhl,fragile items,bike,two day,north,hot,83.3,34.71,4,16,no,delivered,4,520.63,-12,On Time,2023-09-08
250,ecom express,clothing,van,standard,west,foggy,193.2,33.28,7,24,no,delivered,4,1065.84,-17,On Time,2023-09-08
250,ekart,clothing,van,two day,east,foggy,174.3,47.29,10,16,no,delivered,5,1013.37,-6,On Time,2023-09-08
250,ekart,groceries,bike,same day,west,clear,11.4,40.22,1,8,no,delivered,5,277.66,-7,On Time,2023-09-08
250,xpressbees,electronics,ev van,express,east,clear,166.4,44.96,6,5,yes,delayed,2,1016.88,1,Delayed,2023-09-08
250,shadowfax,cosmetics,van,standard,west,stormy,189.6,38.07,11,24,no,delivered,5,1062.21,-13,On Time,2023-09-08
250,blue dart,groceries,truck,express,west,stormy,111.2,37.33,6,4,yes,delayed,2,717.99,2,Delayed,2023-09-08
250,amazon logistics,groceries,ev bike,same day,west,hot,103.2,37.97,4,8,no,delivered,5,729.91,-4,On Time,2023-09-08
250,blue dart,furniture,scooter,standard,east,clear,236.4,47.28,9,24,no,delivered,4,1323.84,-15,On Time,2023-09-08
250,amazon logistics,electronics,van,same day,central,clear,111.9,26.34,5,8,no,delivered,5,738.52,-3,On Time,2023-09-08
250,delhivery,groceries,ev van,standard,south,stormy,86.6,20.64,8,24,no,delivered,5,494.92,-16,On Time,2023-09-08
250,amazon logistics,automobile parts,ev bike,standard,west,clear,235.6,48.07,5,24,no,delivered,5,1322.21,-19,On Time,2023-09-08
250,amazon logistics,pharmacy,truck,same day,south,cold,295.5,48.45,6,8,no,delivered,4,1632.7206,-2,On Time,2023-09-08
250,amazon logistics,pharmacy,truck,two day,west,foggy,56.3,43.65,5,16,no,delivered,5,412.45,-11,On Time,2023-09-08
250,shadowfax,furniture,bike,two day,central,stormy,114.2,28.82,6,16,no,delivered,5,657.46,-10,On Time,2023-09-08
250,fedex,furniture,scooter,same day,north,hot,3.6,31.41,2,8,no,delivered,4,203.23,-6,On Time,2023-09-08
250,xpressbees,automobile parts,bike,same day,west,stormy,146.2,22.55,9,8,yes,failed,2,898.65,1,Delayed,2023-09-08
250,ekart,automobile parts,ev bike,same day,east,clear,85.6,10.69,3,8,no,delivered,4,560.07,-5,On Time,2023-09-08
250,amazon logistics,groceries,ev van,express,south,rainy,247.9,5.23,9,6,yes,failed,2,1305.19,3,Delayed,2023-09-08
250,shadowfax,automobile parts,bike,standard,south,foggy,274.8,0.82,9,24,no,delivered,4,1376.46,-15,On Time,2023-09-08
250,fedex,electronics,scooter,standard,west,clear,35.7,10.8,3,24,no,delivered,3,210.9,-21,On Time,2023-09-08
250,fedex,documents,van,express,central,stormy,259.3,27.01,8,7,yes,failed,1,1427.53,1,Delayed,2023-09-08
250,shadowfax,documents,ev bike,same day,south,clear,65.3,45.09,4,8,no,delivered,5,561.77,-4,On Time,2023-09-08
250,delhivery,cosmetics,van,express,south,clear,93.1,20.89,2,3,no,delivered,3,578.17,-1,On Time,2023-09-08
250,blue dart,pharmacy,bike,standard,central,hot,265.8,32.11,9,24,no,delivered,5,1425.33,-15,On Time,2023-09-08
250,ekart,furniture,truck,two day,west,clear,110.2,23.24,4,16,no,delivered,4,620.72,-12,On Time,2023-09-08
250,blue dart,documents,bike,standard,west,clear,6.0,0.88,1,24,no,delivered,4,95.6674,-23,On Time,2023-09-08
250,dhl,furniture,truck,two day,east,foggy,16.5,21.49,2,16,no,delivered,4,146.97,-14,On Time,2023-09-08
250,xpressbees,documents,ev van,standard,north,cold,102.0,18.67,4,24,no,delivered,4,566.01,-20,On Time,2023-09-08
250,shadowfax,furniture,bike,express,north,rainy,265.4,15.96,13,7,yes,delayed,3,1424.88,6,Delayed,2023-09-08
250,fedex,groceries,ev van,two day,north,foggy,27.5,15.43,2,16,no,delivered,5,183.79,-14,On Time,2023-09-08
250,amazon logistics,fragile items,truck,two day,south,hot,59.5,7.79,2,16,no,delivered,3,320.87,-14,On Time,2023-09-08
250,shadowfax,cosmetics,bike,express,north,cold,290.2,29.26,6,7,no,delivered,4,1588.78,-1,On Time,2023-09-08
250,delhivery,clothing,scooter,standard,east,rainy,124.0,40.2,8,24,no,delivered,4,740.6,-16,On Time,2023-09-08
250,xpressbees,automobile parts,scooter,two day,north,clear,261.9,41.68,9,16,no,delivered,4,1434.54,-7,On Time,2023-09-08
250,shadowfax,pharmacy,ev van,two day,central,rainy,115.6,13.57,8,16,no,delivered,5,618.71,-8,On Time,2023-09-08
250,shadowfax,groceries,ev bike,express,east,hot,156.0,14.49,2,5,no,delivered,3,873.47,-3,On Time,2023-09-08
250,shadowfax,furniture,van,standard,north,foggy,284.1,14.35,9,24,no,delivered,4,1463.55,-15,On Time,2023-09-08
250,fedex,clothing,truck,same day,north,cold,287.0,8.21,10,8,yes,failed,1,1559.63,2,Delayed,2023-09-08
250,delhivery,electronics,van,two day,north,foggy,50.5,31.28,2,16,no,delivered,4,346.34,-14,On Time,2023-09-08
250,shadowfax,groceries,van,two day,west,foggy,203.3,7.5,7,16,no,delivered,4,1039.0,-9,On Time,2023-09-08
250,amazon logistics,fragile items,truck,same day,west,hot,127.8,20.03,2,8,no,delivered,3,799.09,-6,On Time,2023-09-08
250,ekart,groceries,scooter,two day,east,cold,45.8,27.22,1,16,no,delivered,5,310.66,-15,On Time,2023-09-08
250,shadowfax,groceries,ev bike,same day,west,hot,8.7,33.93,0,8,no,delivered,5,245.29,-8,On Time,2023-09-08
250,delhivery,automobile parts,ev van,standard,north,rainy,152.8,48.37,6,24,no,delivered,4,909.11,-18,On Time,2023-09-08
250,dhl,automobile parts,ev van,same day,south,rainy,29.0,40.89,5,8,no,delivered,4,367.67,-3,On Time,2023-09-08
250,dhl,furniture,scooter,standard,north,clear,281.6,19.81,8,24,no,delivered,3,1467.43,-16,On Time,2023-09-08
250,ecom express,electronics,van,same day,east,stormy,75.7,41.47,8,8,yes,delayed,2,602.91,0,Delayed,2023-09-08
250,blue dart,cosmetics,scooter,standard,north,cold,132.5,14.18,3,24,no,delivered,4,705.04,-21,On Time,2023-09-08
250,ekart,cosmetics,truck,standard,west,rainy,218.2,34.0,10,24,no,delivered,5,1193.0,-14,On Time,2023-09-08
250,dhl,automobile parts,scooter,express,east,rainy,152.8,10.46,8,5,yes,delayed,2,845.38,3,Delayed,2023-09-08
250,ecom express,automobile parts,van,same day,west,cold,113.8,21.95,4,8,no,delivered,3,734.85,-4,On Time,2023-09-08
250,amazon logistics,pharmacy,bike,standard,east,clear,189.3,30.78,7,24,no,delivered,5,1038.84,-17,On Time,2023-09-08
250,delhivery,electronics,truck,two day,north,rainy,60.1,40.63,5,16,no,delivered,3,422.39,-11,On Time,2023-09-08
250,ekart,documents,truck,same day,south,foggy,147.7,46.57,6,8,no,delivered,4,978.21,-2,On Time,2023-09-08
250,amazon logistics,cosmetics,truck,two day,north,cold,289.0,48.99,6,16,no,delivered,4,1591.97,-10,On Time,2023-09-08
250,delhivery,pharmacy,van,express,north,cold,235.6,42.35,7,6,yes,delayed,3,1355.05,1,Delayed,2023-09-08
250,amazon logistics,groceries,ev bike,same day,central,cold,101.1,9.76,4,8,no,delivered,4,634.78,-4,On Time,2023-09-08
250,ekart,groceries,truck,two day,central,cold,273.9,42.56,6,16,no,delivered,3,1497.18,-10,On Time,2023-09-08
250,ecom express,cosmetics,scooter,standard,north,clear,262.6,29.36,4,24,no,delivered,4,1401.08,-20,On Time,2023-09-08
250,ekart,groceries,van,two day,east,clear,82.2,18.81,2,16,no,delivered,3,467.43,-14,On Time,2023-09-08
250,dhl,clothing,truck,same day,south,cold,280.3,15.29,7,8,no,delivered,4,1547.37,-1,On Time,2023-09-08
250,shadowfax,automobile parts,bike,same day,east,foggy,146.1,36.12,8,8,yes,delayed,2,938.86,0,Delayed,2023-09-08
250,blue dart,groceries,van,same day,west,clear,279.9,21.63,12,8,yes,failed,2,1564.39,4,Delayed,2023-09-08
250,shadowfax,documents,ev van,same day,south,stormy,165.4,43.2,11,8,yes,delayed,2,1056.6,3,Delayed,2023-09-08
250,fedex,electronics,van,two day,central,cold,29.9,47.31,2,16,no,delivered,3,291.43,-14,On Time,2023-09-08
250,amazon logistics,furniture,truck,standard,north,hot,42.6,44.55,1,24,no,delivered,4,346.65,-23,On Time,2023-09-08
250,ecom express,automobile parts,ev bike,standard,east,foggy,149.9,23.31,10,24,no,delivered,4,819.43,-14,On Time,2023-09-08
250,shadowfax,clothing,scooter,standard,west,rainy,8.4,44.16,4,24,no,delivered,4,174.48,-20,On Time,2023-09-08
250,dhl,documents,ev bike,two day,east,hot,230.8,30.01,6,16,no,delivered,4,1244.03,-10,On Time,2023-09-08
250,dhl,clothing,bike,express,west,clear,93.0,9.37,2,3,no,delivered,4,543.11,-1,On Time,2023-09-08
250,dhl,electronics,van,two day,west,clear,10.4,4.59,1,16,no,delivered,4,95.6674,-15,On Time,2023-09-08
250,amazon logistics,pharmacy,truck,two day,north,hot,194.9,2.42,4,16,no,delivered,4,981.76,-12,On Time,2023-09-08
250,ekart,documents,scooter,express,west,rainy,182.1,2.26,11,5,yes,delayed,2,967.28,6,Delayed,2023-09-08
250,blue dart,cosmetics,ev bike,standard,south,clear,38.8,40.89,3,24,no,delivered,4,316.67,-21,On Time,2023-09-08
250,dhl,groceries,bike,two day,north,cold,55.2,6.78,1,16,no,delivered,3,296.34,-15,On Time,2023-09-08
250,delhivery,pharmacy,truck,express,east,stormy,223.3,44.36,12,6,yes,failed,1,1299.58,6,Delayed,2023-09-08
250,delhivery,electronics,truck,express,west,hot,46.2,14.83,2,2,no,delivered,5,325.49,0,On Time,2023-09-08
250,delhivery,documents,ev bike,two day,south,hot,3.6,49.52,1,16,no,delivered,5,163.39,-15,On Time,2023-09-08
250,xpressbees,groceries,scooter,express,north,hot,297.1,22.0,5,8,no,delivered,5,1615.5,-3,On Time,2023-09-08
250,xpressbees,electronics,bike,express,central,hot,87.8,7.72,3,3,no,delivered,5,512.16,0,On Time,2023-09-08
250,xpressbees,groceries,truck,express,central,hot,267.4,11.53,9,7,yes,delayed,2,1421.59,2,Delayed,2023-09-08
250,fedex,furniture,ev van,two day,east,stormy,124.8,10.84,10,16,no,delivered,4,656.52,-6,On Time,2023-09-08
250,xpressbees,groceries,ev bike,express,south,clear,288.9,8.3,6,7,no,delivered,4,1519.4,-1,On Time,2023-09-08
250,blue dart,furniture,scooter,two day,central,hot,129.5,39.84,4,16,no,delivered,4,767.02,-12,On Time,2023-09-08
250,ecom express,fragile items,van,same day,south,foggy,225.0,7.32,11,8,yes,delayed,3,1246.96,3,Delayed,2023-09-08
250,fedex,cosmetics,scooter,standard,south,stormy,289.7,24.36,14,24,no,delivered,5,1521.58,-10,On Time,2023-09-08
250,ecom express,electronics,ev bike,standard,south,rainy,85.4,41.07,7,24,no,delivered,4,550.21,-17,On Time,2023-09-08
250,blue dart,pharmacy,truck,same day,east,hot,9.9,30.24,0,8,no,delivered,3,240.22,-8,On Time,2023-09-08
250,fedex,automobile parts,van,standard,west,hot,135.1,37.59,4,24,no,delivered,5,788.27,-20,On Time,2023-09-08
250,xpressbees,fragile items,bike,standard,south,stormy,228.6,5.64,9,24,no,delivered,4,1159.92,-15,On Time,2023-09-08
250,fedex,documents,truck,express,north,rainy,169.6,41.44,9,5,yes,delayed,3,1022.32,4,Delayed,2023-09-08
250,fedex,fragile items,van,express,central,foggy,250.7,29.97,10,7,yes,failed,2,1393.41,3,Delayed,2023-09-08
250,blue dart,fragile items,bike,two day,north,rainy,80.7,0.67,7,16,no,delivered,4,404.76,-9,On Time,2023-09-08
250,dhl,groceries,scooter,two day,east,stormy,21.3,41.19,7,16,no,delivered,3,230.07,-9,On Time,2023-09-08
250,ekart,fragile items,ev bike,two day,north,clear,67.1,32.91,2,16,no,delivered,4,434.23,-14,On Time,2023-09-08
250,ekart,pharmacy,ev bike,standard,west,foggy,69.4,0.99,5,24,no,delivered,3,349.97,-19,On Time,2023-09-08
250,xpressbees,cosmetics,van,two day,south,cold,101.2,39.37,2,16,no,delivered,5,624.11,-14,On Time,2023-09-08
250,shadowfax,cosmetics,ev bike,two day,north,rainy,94.2,49.37,5,16,no,delivered,4,619.11,-11,On Time,2023-09-08
250,shadowfax,fragile items,ev bike,same day,north,foggy,71.0,32.56,5,8,no,delivered,3,552.68,-3,On Time,2023-09-08
250,dhl,automobile parts,truck,two day,east,foggy,37.4,42.36,3,16,no,delivered,4,314.08,-13,On Time,2023-09-08
250,ecom express,fragile items,scooter,two day,north,cold,157.0,43.03,3,16,no,delivered,4,914.09,-13,On Time,2023-09-08
250,delhivery,groceries,van,same day,east,cold,213.7,49.52,5,8,no,delivered,5,1317.81,-3,On Time,2023-09-08
250,dhl,pharmacy,ev bike,express,central,cold,272.6,12.84,8,7,yes,delayed,2,1451.52,1,Delayed,2023-09-08
250,blue dart,pharmacy,scooter,express,south,stormy,83.5,24.02,7,3,yes,delayed,2,539.56,4,Delayed,2023-09-08
250,dhl,fragile items,truck,express,central,foggy,198.5,20.1,4,5,no,delivered,5,1102.8,-1,On Time,2023-09-08
250,ecom express,groceries,ev bike,express,west,hot,158.7,35.06,6,5,yes,failed,2,948.68,1,Delayed,2023-09-08
250,dhl,documents,truck,same day,north,clear,265.3,31.8,5,8,no,delivered,5,1521.9,-3,On Time,2023-09-08
250,ecom express,cosmetics,truck,express,east,stormy,208.8,22.83,9,6,yes,delayed,2,1162.49,3,Delayed,2023-09-08
250,fedex,automobile parts,scooter,express,east,rainy,55.7,46.5,3,3,yes,failed,1,468.0,0,Delayed,2023-09-08
250,xpressbees,automobile parts,van,standard,east,foggy,80.6,45.16,4,24,no,delivered,3,538.48,-20,On Time,2023-09-08
250,fedex,clothing,bike,same day,east,stormy,187.7,6.69,13,8,yes,delayed,3,1058.57,5,Delayed,2023-09-08
250,ekart,automobile parts,bike,standard,south,foggy,225.6,22.83,9,24,no,delivered,5,1196.49,-15,On Time,2023-09-08
250,xpressbees,fragile items,truck,express,east,rainy,24.5,0.67,5,2,yes,delayed,2,174.12,3,Delayed,2023-09-08
250,ecom express,clothing,scooter,standard,west,rainy,194.3,29.51,6,24,no,delivered,4,1060.03,-18,On Time,2023-09-08
250,ekart,electronics,van,express,central,foggy,52.0,43.18,6,3,yes,delayed,3,439.54,3,Delayed,2023-09-08
250,amazon logistics,clothing,van,same day,north,clear,282.9,31.33,8,8,yes,delayed,2,1608.49,0,Delayed,2023-09-08
250,ekart,automobile parts,van,same day,north,cold,289.2,16.14,9,8,yes,failed,1,1594.42,1,Delayed,2023-09-08
250,xpressbees,cosmetics,ev bike,standard,east,cold,257.9,45.92,5,24,no,delivered,3,1427.26,-19,On Time,2023-09-08
250,amazon logistics,pharmacy,van,same day,east,hot,258.3,42.79,12,8,yes,delayed,2,1519.87,4,Delayed,2023-09-08
250,fedex,pharmacy,ev van,express,central,rainy,288.4,44.12,9,7,yes,delayed,2,1624.36,2,Delayed,2023-09-08
250,xpressbees,groceries,van,express,east,hot,86.5,37.04,3,3,no,delivered,4,593.62,0,On Time,2023-09-08
250,ekart,automobile parts,ev van,same day,south,stormy,157.3,4.51,9,8,yes,delayed,2,900.03,1,Delayed,2023-09-08
250,delhivery,clothing,ev van,standard,central,rainy,41.0,29.25,6,24,no,delivered,5,292.75,-18,On Time,2023-09-08
250,delhivery,documents,van,standard,central,foggy,137.4,27.87,7,24,no,delivered,3,770.61,-17,On Time,2023-09-08
250,fedex,clothing,ev bike,standard,north,clear,32.3,46.58,1,24,no,delivered,4,301.24,-23,On Time,2023-09-08
250,ecom express,fragile items,van,express,central,clear,207.8,40.12,6,6,yes,delayed,2,1209.36,0,Delayed,2023-09-08
250,blue dart,furniture,ev van,standard,south,foggy,23.6,12.4,3,24,no,delivered,4,155.2,-21,On Time,2023-09-08
250,fedex,cosmetics,ev bike,standard,south,clear,258.0,37.92,8,24,no,delivered,4,1403.76,-16,On Time,2023-09-08
